시설번호,시설명,호선,역코드,역명,역번호,기준일자,관리번호,출입구내외부,지상지하,인접출입구번호,상세위치,화장실정보,역층,휠체어이용가능
1740743,건축)대합실화장실-마천_지하1층,5호선,2561,마천,P555,20210527,,외부,지하,1,대합실 지하1층 1번 출입구 방향에서우측 코너,"일반(남,여) / 교통약자(남,여)",B1,Y
1821298,건축)대합실화장실-창신 B1,6호선,2638,창신,637,20241127,,내부,지하,"3,4",대합실 B1층 E/V1호기 뒷편,"일반(남,여) / 교통약자(남,여)",B1,Y
1806845,건축)대합실화장실-석계 B2층 화장실,6호선,2645,석계,644,20240705,,내부,지하,"2,3",지하 2층 대합실(환승통로),"일반(남,여) / 교통약자(남,여)",B2,Y
1740744,건축)대합실화장실-응암_지하1층,6호선,2611,응암,610,20210527,,외부,지하,"3,4",대합실 B1층 GS25 편의점 옆,"일반(남,여) / 교통약자(남,여)",B1,Y
1740745,건축)대합실화장실-역촌_지하1층,6호선,2612,역촌,611,20210527,,외부,지하,3,대합실 1층 3번 출입구 옆,"일반(남,여) / 교통약자(남,여)",B1,Y
1740746,건축)대합실화장실-불광(6)_지하1층,6호선,2613,불광,612,20210527,,외부,지하,"6,7","지하1층 (가)대합실(6,7번 출입구 아래)","일반(남,여) / 교통약자(남,여)",B1,Y
1740747,건축)대합실화장실-독바위_지하1층,6호선,2614,독바위,613,20210527,,외부,지하,1,대합실 B1층 E/S 7호기 옆,"일반(남,여) / 교통약자(남,여)",B1,Y
1740748,건축)대합실화장실-연신내(6)_지하1층,6호선,2615,연신내,614,20210527,,외부,지하,"6,7","대합실 B1층 6,7번 출입구방향","일반(남,여) / 교통약자(남,여)",B1,Y
1740749,건축)대합실화장실-구산_지하1층,6호선,2616,구산,615,20210527,,외부,지하,4,대합실 B1층 4번 출입구 맞은편,"일반(남,여) / 교통약자(남,여)",B1,Y
1740750,건축)대합실화장실-새절_지하1층,6호선,2617,새절,616,20210527,,외부,지하,2,대합실 1층 2번 출입구 옆,"일반(남,여) / 교통약자(남,여)",B1,Y
1740751,건축)대합실화장실-증산_지하1층,6호선,2618,증산,617,20210527,,외부,지하,1,대합실 1층 1번 출입구 옆,"일반(남,여) / 교통약자(남,여)",B1,Y
1740752,건축)대합실화장실-디지털미디어시티(6)_지하1층(대합실 나),6호선,2619,디지털미디어시티,618,20210527,,외부,지하,4,대합실 지하1층 4번 출입구 옆,"일반(남,여) / 교통약자(남,여)",B1,Y
1740753,건축)대합실화장실-디지털미디어시티(6)_지하1층(대합실 가),6호선,2619,디지털미디어시티,618,20210527,,내부,지하,"2,3","대합실 지하1층 2,3번 출입구 옆","일반(남,여) / 교통약자(남,여)",B1,N
1740754,건축)대합실화장실-월드컵경기장(6)_지하2층(대합실 나),6호선,2620,월드컵경기장,619,20210527,,외부,지하,2,대합실(B1 2번 출입구방향 개집표기옆),"일반(남,여) / 교통약자(남,여)",B1,N
1740755,건축)대합실화장실-월드컵경기장(6)_지하2층(대합실 가),6호선,2620,월드컵경기장,619,20210527,,내부,지하,1,대합실(B1 1번 출입구방향 개집표기 내부),"일반(남,여) / 교통약자(남,여)",B1,Y
1740756,건축)대합실화장실-마포구청_지하1층,6호선,2621,마포구청,620,20210527,,외부,지하,8,가대합실 지하2층,"일반(남,여) / 교통약자(남,여)",B1,Y
