datetime_full,호선,역명,사용일수구분,승차건수,하차건수
2024-01-26 15:00:00,1호선,종각,7일권,7,0
2024-01-26 15:00:00,2호선,홍대입구,3일권,0,1
2024-01-26 15:00:00,4호선,서울역,3일권,1,0
2024-01-26 15:00:00,4호선,서울역,7일권,6,0
2024-01-26 18:00:00,2호선,잠실(송파구청),3일권,0,1
2024-01-26 18:00:00,4호선,숙대입구(갈월),7일권,1,0
2024-01-26 19:00:00,2호선,홍대입구,7일권,0,1
2024-01-26 20:00:00,2호선,잠실(송파구청),3일권,1,0
2024-01-26 21:00:00,2호선,잠실(송파구청),3일권,4,0
2024-01-26 21:00:00,2호선,홍대입구,3일권,1,1
2024-01-26 22:00:00,4호선,숙대입구(갈월),3일권,0,1
2024-01-26 22:00:00,4호선,숙대입구(갈월),7일권,0,7
2024-01-27 10:00:00,1호선,서울역,3일권,1,0
2024-01-27 10:00:00,1호선,서울역,7일권,6,0
2024-01-27 10:00:00,4호선,충무로,3일권,0,1
2024-01-27 10:00:00,4호선,충무로,7일권,0,6
2024-01-27 11:00:00,4호선,명동,7일권,2,0
2024-01-27 11:00:00,4호선,숙대입구(갈월),7일권,1,0
2024-01-27 11:00:00,4호선,신용산,7일권,0,2
2024-01-27 12:00:00,2호선,역삼,3일권,0,1
2024-01-27 12:00:00,2호선,역삼,7일권,0,7
2024-01-27 12:00:00,4호선,충무로,3일권,1,0
2024-01-27 12:00:00,4호선,충무로,7일권,6,0
2024-01-27 13:00:00,2호선,홍대입구,7일권,0,2
2024-01-27 14:00:00,2호선,역삼,3일권,1,0
2024-01-27 14:00:00,2호선,역삼,7일권,7,0
2024-01-27 15:00:00,2호선,홍대입구,3일권,0,1
2024-01-27 15:00:00,2호선,홍대입구,7일권,0,7
2024-01-27 16:00:00,2호선,을지로입구,7일권,0,2
2024-01-27 16:00:00,2호선,홍대입구,7일권,2,0
2024-01-27 18:00:00,2호선,동대문역사문화공원(DDP),3일권,0,1
2024-01-27 18:00:00,2호선,동대문역사문화공원(DDP),7일권,0,7
2024-01-27 18:00:00,2호선,홍대입구,3일권,1,0
2024-01-27 18:00:00,2호선,홍대입구,7일권,7,0
2024-01-27 19:00:00,2호선,을지로입구,7일권,2,0
2024-01-27 19:00:00,2호선,홍대입구,7일권,0,2
2024-01-27 22:00:00,4호선,서울역,7일권,0,5
2024-01-27 22:00:00,5호선,마장,7일권,5,0
2024-01-29 10:00:00,4호선,동대문역사문화공원(DDP),2일권,3,7
2024-01-29 10:00:00,4호선,서울역,2일권,4,0
2024-01-29 12:00:00,3호선,안국,2일권,0,4
2024-01-29 12:00:00,3호선,동대입구,2일권,4,0
2024-01-29 14:00:00,4호선,명동,7일권,2,0
2024-01-29 15:00:00,4호선,동대문역사문화공원(DDP),2일권,0,4
2024-01-29 15:00:00,5호선,서대문,2일권,4,0
2024-01-29 16:00:00,4호선,동대문역사문화공원(DDP),2일권,4,0
2024-01-29 16:00:00,4호선,명동,2일권,0,4
2024-01-29 17:00:00,2호선,을지로입구,2일권,4,0
2024-01-29 17:00:00,2호선,을지로입구,7일권,0,2
