,datetime_full,호선,역명,사용일수구분,승차건수,하차건수
250,2024-01-19 21:00:00,1호선,종각,3일권,0,1
251,2024-01-19 21:00:00,4호선,동대문,1일권,1,0
252,2024-01-19 21:00:00,4호선,명동,3일권,1,0
253,2024-01-19 21:00:00,5호선,광화문(세종문화회관),5일권,1,0
254,2024-01-19 22:00:00,2호선,홍대입구,5일권,0,1
255,2024-01-19 22:00:00,5호선,광화문(세종문화회관),1일권,1,1
256,2024-01-19 23:00:00,1호선,서울역,1일권,0,1
257,2024-01-20 10:00:00,6호선,동묘앞,7일권,1,0
258,2024-01-20 11:00:00,1호선,종각,3일권,2,1
259,2024-01-20 11:00:00,2호선,잠실(송파구청),7일권,0,1
260,2024-01-20 11:00:00,3호선,경복궁(정부서울청사),3일권,0,1
261,2024-01-20 11:00:00,3호선,안국,3일권,1,1
262,2024-01-20 13:00:00,3호선,경복궁(정부서울청사),3일권,1,0
263,2024-01-20 13:00:00,3호선,안국,3일권,0,1
264,2024-01-20 17:00:00,1호선,종로3가,3일권,0,1
265,2024-01-20 17:00:00,3호선,안국,3일권,1,0
266,2024-01-20 18:00:00,1호선,종로3가,3일권,1,0
267,2024-01-20 18:00:00,5호선,마장,3일권,0,1
268,2024-01-20 20:00:00,1호선,종각,3일권,0,1
269,2024-01-20 20:00:00,5호선,마장,3일권,1,0
270,2024-01-20 21:00:00,2호선,잠실(송파구청),7일권,1,0
271,2024-01-20 21:00:00,6호선,동묘앞,7일권,0,1
272,2024-01-21 10:00:00,2호선,홍대입구,5일권,1,0
273,2024-01-21 10:00:00,2호선,신촌,5일권,0,1
274,2024-01-21 12:00:00,1호선,종로3가,7일권,0,1
275,2024-01-21 12:00:00,6호선,동묘앞,7일권,1,0
276,2024-01-21 13:00:00,2호선,신촌,5일권,1,0
277,2024-01-21 14:00:00,4호선,충무로,5일권,0,1
278,2024-01-21 17:00:00,1호선,동대문,7일권,0,1
279,2024-01-21 17:00:00,3호선,안국,7일권,1,0
280,2024-01-21 18:00:00,4호선,충무로,5일권,1,0
281,2024-01-21 19:00:00,3호선,연신내,5일권,0,1
282,2024-01-21 21:00:00,2호선,홍대입구,5일권,0,1
283,2024-01-21 21:00:00,3호선,연신내,5일권,1,0
284,2024-01-22 14:00:00,3호선,경복궁(정부서울청사),5일권,1,0
285,2024-01-22 14:00:00,3호선,약수,7일권,0,1
286,2024-01-22 14:00:00,4호선,회현(남대문시장),5일권,0,1
287,2024-01-22 14:00:00,6호선,동묘앞,7일권,1,0
288,2024-01-22 17:00:00,2호선,을지로입구,7일권,2,1
289,2024-01-22 17:00:00,2호선,홍대입구,7일권,0,1
290,2024-01-22 17:00:00,4호선,회현(남대문시장),5일권,1,0
291,2024-01-22 18:00:00,6호선,마포구청,5일권,0,1
292,2024-01-22 19:00:00,6호선,상수,7일권,1,0
293,2024-01-22 20:00:00,6호선,동묘앞,7일권,0,1
294,2024-01-23 11:00:00,6호선,동묘앞,7일권,1,0
295,2024-01-24 08:00:00,3호선,경복궁(정부서울청사),3일권,0,2
296,2024-01-24 08:00:00,4호선,명동,3일권,2,0
297,2024-01-24 10:00:00,3호선,경복궁(정부서울청사),3일권,2,0
298,2024-01-24 11:00:00,3호선,안국,3일권,0,2
299,2024-01-24 12:00:00,4호선,동대문,7일권,0,0
300,2024-01-24 13:00:00,1호선,종각,3일권,2,0
302,2024-01-24 13:00:00,4호선,동대문,7일권,0,1
303,2024-01-24 14:00:00,1호선,종각,3일권,0,0
305,2024-01-24 16:00:00,2호선,시청,7일권,1,0
306,2024-01-24 16:00:00,2호선,홍대입구,7일권,0,1
307,2024-01-24 17:00:00,2호선,성수,3일권,0,2
308,2024-01-24 17:00:00,2호선,삼성(무역센터),3일권,2,0
309,2024-01-24 17:00:00,2호선,홍대입구,7일권,1,0
310,2024-01-24 18:00:00,2호선,성수,3일권,2,0
