역명,어린이_해당역,일반_해당역,어린이_전체,일반_전체,z통계량,p값,어린이비율,일반비율,어린이_더많음,유의미
창동,71,545,267473,3676074,4.682429643474621,2.8349450459492503e-06,0.00026544735356465887,0.00014825599267044134,True,True
강동,25,838,267473,3676074,-4.540195897799799,5.620198567640841e-06,9.346737801572496e-05,0.0002279605905648254,False,True
상도,6,420,267473,3676074,-4.411525280717114,1.026449668097214e-05,2.243217072377399e-05,0.00011425232462676213,False,True
목동,131,1204,267473,3676074,4.403908259515847,1.0631791763899043e-05,0.0004897690608023987,0.0003275233305967181,True,True
충무로,6627,86224,267473,3676074,4.349849325264201,1.3623110576489178e-05,0.02477633256440837,0.023455458187185568,True,True
마곡,25,807,267473,3676074,-4.334056794712734,1.463863822549499e-05,9.346737801572496e-05,0.00021952768088999298,False,True
송정,74,1659,267473,3676074,-4.1605925050492525,3.17423012705586e-05,0.00027666343892654584,0.00045129668227571044,False,True
충정로(경기대입구),328,5705,267473,3676074,-4.160346605337495,3.177649814620783e-05,0.0012262919995663115,0.001551927409513519,False,True
까치산,151,1461,267473,3676074,4.12796339773701,3.659903531407524e-05,0.0005645429632149787,0.0003974348720945226,True,True
신도림,200,3701,267473,3676074,-4.114608432660518,3.8783721395646796e-05,0.0007477390241257996,0.001006780603437254,False,True
미사,82,701,267473,3676074,4.106808304527918,4.0116389123166415e-05,0.00030657299989157787,0.00019069257038895298,True,True
월드컵경기장(성산),221,4024,267473,3676074,-4.086962654467188,4.370574391931034e-05,0.0008262516216590085,0.001094646081662121,False,True
아현,140,2712,267473,3676074,-3.9809784925014027,6.863215970014604e-05,0.0005234173168880597,0.0007377435818756641,False,True
천왕,29,187,267473,3676074,3.8831359915428547,0.00010311785710469715,0.00010842215849824094,5.086948739334409e-05,True,True
마들,15,74,267473,3676074,3.7787135734790342,0.0001576406179632215,5.608042680943497e-05,2.013017148185809e-05,True,True
용답,17,567,267473,3676074,-3.7211986609368957,0.0001982793732704909,6.355781705069297e-05,0.0001542406382461289,False,True
